drug_name,Reviews
Uceris,Outstanding results after the fourth day using Uceris. Has none of the typical prednisone major side effects. Works in the lower colon. I used it for 8 weeks. Held the ulcerative colitis in remission for an additional 5 months.
Uceris,"Had bleeding, diarrhea, frequent trips to the bathroom... Started to notice a difference within a day and a half of taking this. Not as many bathroom trips... actually starting to feel normal again."
Uceris,"A Mayo doc prescribed Uceris foam in April 2019 after several months of severe tenesmus controlled primarily with Bentyl. The medicine started working rather quickly, and all was good for about a year. Experience told me I had another attack coming a year after first use, and I had the doctor prescribe another round of treatment in May of 2020. It knocked out the symptoms again quickly. Here I am again about 14 months later, and I think the symptoms are coming back. I will try again, as it beats getting on the infusion treadmill for the rest of my life"
Uceris,"Tried this twice for flares prior to Prednisone while on Lialda as my main med. Didn't work for me at all. If anything, it made flares worse. Only Prednisone helped clear the flares"
Uceris,"No. I will never take this again. It has caused nausea, stomach pain, fatigue, broken sleep, and whatever else wasn’t already bad enough with my flare."
BUDESONIDE,"I was prescribed this for Collagenous (microscopic) Colitis, and it worked immediately with the first dose. I take three 3mg capsules at once in the morning. I've been on it for 15 months straight with no side effects, but I do have to have a bone density scan once a year. I have tried weaning off the medicine, but my symptoms return so it looks like I'm on this for life. Entocort is my miracle. It helps me live a normal life."
BUDESONIDE,"This medication was an answer to prayer. I suffered with chronic diarrhea for over a year and had tried Imodium, dietary changes, and anything else I could think of to stop it. I eventually had a colonoscopy and biopsies taken showed collagenous colitis, a form of microscopic colitis. ONE day on this med stopped my diarrhea. I haven't had any negative side effects whatsoever."
BUDESONIDE,"This medicine changed my life. I have taken it for 2 years, but now I have no health insurance and can't afford it. I have severe cramping and constant diarrhea. Food is repulsive to me, and I am losing weight like crazy. I sure do miss it."
BUDESONIDE,"Taking a 9-week taper for collagenous colitis. I can't wait until I'm off of it. Many side effects, insomnia, horrible nightmares when I do sleep, weight gain, my fingernails are brittle and peeling. Back and shoulder pain."
BUDESONIDE,"Tried this twice for flares prior to Prednisone while on Lialda as my main med. Didn't work for me at all. If anything, it made flares worse. Only Prednisone helped clear the flares."
